baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000053030.11	715.51814645664	8.16013512618654	0.403788485731229	20.2089346639223	8.16921977061593e-91	1.61045756027005e-88
ENSMUSG00000022865.14	1017.89691957871	3.41245070649	0.16920595099082	20.1674390676433	1.89184896464219e-90	3.69332999815779e-88
ENSMUSG00000039457.4	325.366068744433	3.87493952845891	0.19237566405621	20.1425660957131	3.12707334787353e-90	6.04607604606162e-88
ENSMUSG00000102752.1	291.65252968245	4.09679818475588	0.203396996837222	20.1418813869436	3.17060658048691e-90	6.07186258289817e-88
ENSMUSG00000029154.13	732.126853349502	8.29205666367706	0.412293476099473	20.1120249151759	5.79108057007921e-90	1.09855705757691e-87
ENSMUSG00000028128.13	1790.7214802991	-2.08943708208781	0.1039480936635	-20.1007734576809	7.26524527762e-90	1.36532291628395e-87
ENSMUSG00000022346.16	4842.31096231102	2.52479511271055	0.125917530671788	20.051180318105	1.9711277763024e-89	3.66994790054525e-87
ENSMUSG00000022102.13	303.629955600705	5.63762222195921	0.281447286947293	20.0308280925621	2.96683410441188e-89	5.4731284561022e-87
ENSMUSG00000021182.16	302.523854143939	4.03017998838206	0.201603890724503	19.9905863616958	6.65096535495946e-89	1.21579646688659e-86
ENSMUSG00000028434.12	984.575011480394	2.52765219484951	0.126712755442469	19.947890692008	1.56346484185403e-88	2.83226585945953e-86
ENSMUSG00000042216.13	360.201997696794	3.34077877736041	0.167538556560078	19.9403578850963	1.81759730722721e-88	3.26323630836828e-86
ENSMUSG00000019996.17	303.588516924698	4.80511720958091	0.241070998203546	19.9323736384239	2.13206464313175e-88	3.79394299505249e-86
ENSMUSG00000029449.11	351.101090583461	3.8416744309506	0.193267402631267	19.8775084605451	6.37205215898121e-88	1.12394056853328e-85
ENSMUSG00000085925.3	338.05940978646	3.27191757201823	0.165109868268508	19.816608215672	2.1405874299333e-87	3.74286365574772e-85
ENSMUSG00000024965.9	348.98172423606	5.42022311247713	0.273713740055444	19.8025247522437	2.83141039680518e-87	4.90810347059988e-85
ENSMUSG00000031075.19	2030.19647550231	1.8382097907757	0.0937435355380617	19.6089232204108	1.29749810256487e-85	2.22992238003201e-83
ENSMUSG00000028954.11	2684.50301862772	1.81336930395159	0.0928450415014566	19.5311378467437	5.96944671148055e-85	1.01723419046145e-82
ENSMUSG00000092586.8	2363.34689446817	10.9876472335719	0.563409993204048	19.5020453419479	1.05478675182063e-84	1.78232369795036e-82
ENSMUSG00000026638.15	451.512115652809	7.31023462900152	0.379907071941831	19.2421651738055	1.64203973550819e-82	2.75151125013323e-80
ENSMUSG00000027456.8	288.329412014444	5.87955121754794	0.3058205848363	19.2254920338183	2.26480750373335e-82	3.76369828802233e-80
ENSMUSG00000044737.6	429.38251067393	7.15537316734354	0.372407747513367	19.2138139314266	2.83642146449094e-82	4.67498055803146e-80
