	clust	group
W129395	12	mTEC-I
W129396	12	mTEC-I
W129397	6	mTEC-I
W129398	34	mTEC-II
W129402	6	mTEC-I
W129412	11	mTEC-I
W129417	6	mTEC-I
W129423	26	mTEC-II
W129424	6	mTEC-I
W129047	6	mTEC-I
W129052	1	mTEC-IV
W129054	6	mTEC-I
W129056	36	mTEC-II
W129058	6	mTEC-I
W129059	35	mTEC-II
W129061	15	mTEC-I
W129066	19	mTEC-I
W129067	29	mTEC-II
W129072	17	mTEC-I
W129073	6	mTEC-I
W129077	21	mTEC-I
W129079	6	mTEC-I
W129080	4	cTEC
W129082	24	mTEC-III
W129085	30	mTEC-II
W129096	13	mTEC-I
W129102	6	mTEC-I
W129104	3	mTEC-IV
W129105	35	mTEC-II
W129109	6	mTEC-I
W129112	33	mTEC-III
W129115	34	mTEC-II
W129116	6	mTEC-I
W129119	6	mTEC-I
W129120	6	mTEC-I
W129122	34	mTEC-II
W129126	30	mTEC-II
W129128	6	mTEC-I
W129131	3	mTEC-IV
W129138	16	mTEC-I
W129139	4	cTEC
W129148	5	cTEC
W129151	6	mTEC-I
W129154	4	cTEC
W129155	3	mTEC-IV
W129157	32	mTEC-III
W129163	27	mTEC-II
W129165	17	mTEC-I
W129167	27	mTEC-II
W129170	30	mTEC-II
W129172	6	mTEC-I
W129175	35	mTEC-II
W129176	24	mTEC-III
W129177	27	mTEC-II
W129182	27	mTEC-II
W129185	19	mTEC-I
W129187	13	mTEC-I
W129191	13	mTEC-I
W129192	17	mTEC-I
W129193	6	mTEC-I
W129199	19	mTEC-I
W129200	34	mTEC-II
W129203	19	mTEC-I
W129208	24	mTEC-III
W129222	2	mTEC-IV
W129224	20	mTEC-I
W129226	19	mTEC-I
W129229	32	mTEC-III
W113878	6	mTEC-I
W113886	35	mTEC-II
W113920	4	cTEC
W113928	35	mTEC-II
W113932	12	mTEC-I
W113944	35	mTEC-II
W113947	15	mTEC-I
W113948	6	mTEC-I
W113967	4	cTEC
W113986	15	mTEC-I
W113996	36	mTEC-II
W114001	27	mTEC-II
W114003	27	mTEC-II
W114005	18	mTEC-I
W114010	27	mTEC-II
W114028	3	mTEC-IV
W114033	27	mTEC-II
W114035	36	mTEC-II
W114040	6	mTEC-I
W114047	1	mTEC-IV
W114062	1	mTEC-IV
W114064	2	mTEC-IV
W113695	15	mTEC-I
W113699	35	mTEC-II
W113700	36	mTEC-II
W113707	32	mTEC-III
W113708	16	mTEC-I
W113709	6	mTEC-I
W113713	6	mTEC-I
W113715	1	mTEC-IV
W113718	6	mTEC-I
W113719	1	mTEC-IV
W113721	6	mTEC-I
W113726	26	mTEC-II
W113729	34	mTEC-II
W113730	6	mTEC-I
W113731	6	mTEC-I
W113732	24	mTEC-III
W113733	6	mTEC-I
W113737	15	mTEC-I
W113742	15	mTEC-I
W113745	6	mTEC-I
W113747	9	mTEC-I
W113751	4	cTEC
W113753	6	mTEC-I
W113755	32	mTEC-III
W113767	6	mTEC-I
W113771	15	mTEC-I
W113778	27	mTEC-II
W113781	23	mTEC-III
W113782	27	mTEC-II
W113784	3	mTEC-IV
W113794	27	mTEC-II
W113798	21	mTEC-I
W113805	3	mTEC-IV
W113810	26	mTEC-II
W113812	6	mTEC-I
W113813	32	mTEC-III
W113814	6	mTEC-I
W113823	3	mTEC-IV
W113824	36	mTEC-II
W113825	35	mTEC-II
W113826	30	mTEC-II
W113833	27	mTEC-II
W113837	16	mTEC-I
W113840	26	mTEC-II
W113842	36	mTEC-II
W113845	23	mTEC-III
W113854	6	mTEC-I
W113856	13	mTEC-I
W113857	25	mTEC-II
W113862	20	mTEC-I
W113863	35	mTEC-II
W113864	32	mTEC-III
W113868	27	mTEC-II
W113495	32	mTEC-III
W113500	32	mTEC-III
W113513	11	mTEC-I
W113519	19	mTEC-I
W113522	32	mTEC-III
W113523	6	mTEC-I
W113525	15	mTEC-I
W113526	19	mTEC-I
W113534	32	mTEC-III
W113538	6	mTEC-I
W113540	26	mTEC-II
W113545	6	mTEC-I
W113549	35	mTEC-II
W113553	6	mTEC-I
W113555	34	mTEC-II
W113560	29	mTEC-II
W113568	6	mTEC-I
W113577	1	mTEC-IV
W113588	6	mTEC-I
W113594	11	mTEC-I
W113595	16	mTEC-I
W113597	35	mTEC-II
W113602	6	mTEC-I
W113608	32	mTEC-III
W113612	8	mTEC-I
W113615	13	mTEC-I
W113618	15	mTEC-I
W113622	6	mTEC-I
W113628	36	mTEC-II
W113633	28	mTEC-II
W113634	11	mTEC-I
W113636	25	mTEC-II
W113637	1	mTEC-IV
W113639	3	mTEC-IV
W113642	11	mTEC-I
W113644	11	mTEC-I
W113645	1	mTEC-IV
W113647	23	mTEC-III
W113649	32	mTEC-III
W113650	4	cTEC
W113651	16	mTEC-I
W113657	34	mTEC-II
W113660	6	mTEC-I
W113661	28	mTEC-II
W113664	6	mTEC-I
W113671	31	mTEC-II
W113672	35	mTEC-II
W113674	1	mTEC-IV
W113299	6	mTEC-I
W113302	6	mTEC-I
W113305	6	mTEC-I
W113307	15	mTEC-I
W113308	6	mTEC-I
W113309	3	mTEC-IV
W113317	25	mTEC-II
W113318	6	mTEC-I
W113325	35	mTEC-II
W113326	23	mTEC-III
W113328	6	mTEC-I
W113335	34	mTEC-II
W113341	11	mTEC-I
W113348	35	mTEC-II
W113352	3	mTEC-IV
W113353	15	mTEC-I
W113354	6	mTEC-I
W113356	32	mTEC-III
W113357	11	mTEC-I
W113361	11	mTEC-I
W113364	6	mTEC-I
W113365	1	mTEC-IV
W113371	1	mTEC-IV
W113383	4	cTEC
W113384	17	mTEC-I
W113387	35	mTEC-II
W113392	4	cTEC
W113404	6	mTEC-I
W113405	11	mTEC-I
W113406	11	mTEC-I
W113418	1	mTEC-IV
W113427	6	mTEC-I
W113431	6	mTEC-I
W113441	30	mTEC-II
W113442	1	mTEC-IV
W113443	26	mTEC-II
W113446	35	mTEC-II
W113447	11	mTEC-I
W113448	26	mTEC-II
W113457	11	mTEC-I
W113459	27	mTEC-II
W113471	26	mTEC-II
W113116	32	mTEC-III
W113119	1	mTEC-IV
W113123	28	mTEC-II
W113127	11	mTEC-I
W113128	3	mTEC-IV
W113133	15	mTEC-I
W113134	6	mTEC-I
W113136	33	mTEC-III
W113138	6	mTEC-I
W113141	28	mTEC-II
W113143	32	mTEC-III
W113146	2	mTEC-IV
W113148	22	mTEC-III
W113151	29	mTEC-II
W113152	34	mTEC-II
W113160	29	mTEC-II
W113161	15	mTEC-I
W113167	6	mTEC-I
W113171	19	mTEC-I
W113172	17	mTEC-I
W113176	11	mTEC-I
W113179	26	mTEC-II
W113181	3	mTEC-IV
W113184	23	mTEC-III
W113204	12	mTEC-I
W113206	5	cTEC
W113213	1	mTEC-IV
W113215	6	mTEC-I
W113223	26	mTEC-II
W113225	6	mTEC-I
W113226	6	mTEC-I
W113228	35	mTEC-II
W113235	11	mTEC-I
W113236	6	mTEC-I
W113237	6	mTEC-I
W113241	3	mTEC-IV
W113242	13	mTEC-I
W113246	6	mTEC-I
W113251	28	mTEC-II
W113252	11	mTEC-I
W113253	36	mTEC-II
W113254	32	mTEC-III
W113259	1	mTEC-IV
W113260	30	mTEC-II
W113261	5	cTEC
W113266	35	mTEC-II
W113274	4	cTEC
W113275	2	mTEC-IV
W113277	35	mTEC-II
W113287	24	mTEC-III
W113289	11	mTEC-I
W113292	35	mTEC-II
W113293	22	mTEC-III
W113295	6	mTEC-I
W113296	10	mTEC-I
W112921	3	mTEC-IV
W112924	6	mTEC-I
W112929	3	mTEC-IV
W112931	15	mTEC-I
W112943	5	cTEC
W112947	22	mTEC-III
W112951	11	mTEC-I
W112956	15	mTEC-I
W112957	3	mTEC-IV
W112958	23	mTEC-III
W112959	16	mTEC-I
W112964	33	mTEC-III
W112966	6	mTEC-I
W112975	11	mTEC-I
W112978	36	mTEC-II
W112982	26	mTEC-II
W112983	23	mTEC-III
W112984	15	mTEC-I
W112987	6	mTEC-I
W112993	6	mTEC-I
W113002	5	cTEC
W113003	1	mTEC-IV
W113008	23	mTEC-III
W113010	32	mTEC-III
W113012	26	mTEC-II
W113013	1	mTEC-IV
W113018	28	mTEC-II
W113019	1	mTEC-IV
W113020	26	mTEC-II
W113021	32	mTEC-III
W113025	11	mTEC-I
W113028	3	mTEC-IV
W113034	26	mTEC-II
W113035	31	mTEC-II
W113036	35	mTEC-II
W113037	23	mTEC-III
W113039	3	mTEC-IV
W113041	6	mTEC-I
W113043	3	mTEC-IV
W113047	6	mTEC-I
W113054	11	mTEC-I
W113055	24	mTEC-III
W113057	32	mTEC-III
W113058	1	mTEC-IV
W113059	32	mTEC-III
W113063	30	mTEC-II
W113065	31	mTEC-II
W113066	15	mTEC-I
W113073	1	mTEC-IV
W113081	1	mTEC-IV
W113082	32	mTEC-III
W113084	28	mTEC-II
W113086	24	mTEC-III
W113090	32	mTEC-III
