	clust	group
W291694	1	mTEC-IV
W291696	1	mTEC-IV
W291697	34	mTEC-II
W291698	34	mTEC-II
W291700	6	mTEC-I
W291701	28	mTEC-II
W291702	3	mTEC-IV
W291703	25	mTEC-II
W291705	29	mTEC-II
W291706	30	mTEC-II
W291708	22	mTEC-III
W291709	2	mTEC-IV
W291711	29	mTEC-II
W291712	2	mTEC-IV
W291713	21	mTEC-I
W291714	30	mTEC-II
W291715	26	mTEC-II
W291717	11	mTEC-I
W291720	15	mTEC-I
W291721	5	cTEC
W291723	30	mTEC-II
W291725	29	mTEC-II
W291727	25	mTEC-II
W291728	23	mTEC-III
W291729	8	mTEC-I
W291730	30	mTEC-II
W291731	8	mTEC-I
W291732	35	mTEC-II
W291734	6	mTEC-I
W291736	29	mTEC-II
W291738	5	cTEC
W291739	24	mTEC-III
W291740	26	mTEC-II
W291741	7	mTEC-I
W291743	23	mTEC-III
W291745	10	mTEC-I
W291746	1	mTEC-IV
W291748	8	mTEC-I
W291749	9	mTEC-I
W291750	35	mTEC-II
W291752	22	mTEC-III
W291753	36	mTEC-II
W291755	8	mTEC-I
W291756	32	mTEC-III
W291757	35	mTEC-II
W291758	8	mTEC-I
W291760	24	mTEC-III
W291761	27	mTEC-II
W291762	21	mTEC-I
W291763	29	mTEC-II
W291764	35	mTEC-II
W291765	30	mTEC-II
W291769	16	mTEC-I
W291770	19	mTEC-I
W291772	35	mTEC-II
W291773	35	mTEC-II
W291774	10	mTEC-I
W291775	35	mTEC-II
W291776	26	mTEC-II
W291779	12	mTEC-I
W291781	30	mTEC-II
W291783	30	mTEC-II
W291785	29	mTEC-II
W291786	35	mTEC-II
W291787	14	mTEC-I
W291789	9	mTEC-I
W291790	29	mTEC-II
W291794	7	mTEC-I
W291795	3	mTEC-IV
W291796	27	mTEC-II
W291799	24	mTEC-III
W291801	23	mTEC-III
W291803	35	mTEC-II
W291804	1	mTEC-IV
W291805	15	mTEC-I
W291807	8	mTEC-I
W291808	26	mTEC-II
W291809	8	mTEC-I
W291813	15	mTEC-I
W291814	7	mTEC-I
W291816	26	mTEC-II
W291817	17	mTEC-I
W291819	23	mTEC-III
W291820	29	mTEC-II
W291823	34	mTEC-II
W291824	29	mTEC-II
W291825	33	mTEC-III
W291826	8	mTEC-I
W291828	29	mTEC-II
W291830	1	mTEC-IV
W291831	28	mTEC-II
W291833	21	mTEC-I
W291836	5	cTEC
W291837	5	cTEC
W291839	22	mTEC-III
W291840	10	mTEC-I
W291841	32	mTEC-III
W291842	12	mTEC-I
W291844	21	mTEC-I
W291845	34	mTEC-II
W291847	35	mTEC-II
W291848	18	mTEC-I
W291850	15	mTEC-I
W291852	8	mTEC-I
W291853	24	mTEC-III
W291856	22	mTEC-III
W271127	35	mTEC-II
W271129	31	mTEC-II
W271133	23	mTEC-III
W271137	22	mTEC-III
W271149	35	mTEC-II
W271164	20	mTEC-I
W271170	2	mTEC-IV
W271172	6	mTEC-I
W271188	21	mTEC-I
W271189	29	mTEC-II
W271190	20	mTEC-I
W271197	6	mTEC-I
W271198	4	cTEC
W271200	6	mTEC-I
W271201	15	mTEC-I
W271204	14	mTEC-I
W271208	20	mTEC-I
W271212	32	mTEC-III
W271223	23	mTEC-III
W271225	20	mTEC-I
W271226	12	mTEC-I
W271227	30	mTEC-II
W271228	13	mTEC-I
W271229	31	mTEC-II
W271232	26	mTEC-II
W271234	17	mTEC-I
W271235	1	mTEC-IV
W271236	26	mTEC-II
W271239	30	mTEC-II
W271241	23	mTEC-III
W271243	23	mTEC-III
W271244	2	mTEC-IV
W271245	1	mTEC-IV
W271246	26	mTEC-II
W271247	21	mTEC-I
W271250	23	mTEC-III
W271253	35	mTEC-II
W271254	23	mTEC-III
W271255	30	mTEC-II
W271257	22	mTEC-III
W271263	20	mTEC-I
W271266	21	mTEC-I
W271272	23	mTEC-III
W271273	8	mTEC-I
W271275	2	mTEC-IV
W271278	3	mTEC-IV
W271287	12	mTEC-I
W271293	23	mTEC-III
W271301	28	mTEC-II
W271303	30	mTEC-II
W271307	23	mTEC-III
W270929	33	mTEC-III
W270939	33	mTEC-III
W270940	4	cTEC
W270946	1	mTEC-IV
W270950	2	mTEC-IV
W270951	1	mTEC-IV
W270954	21	mTEC-I
W270962	1	mTEC-IV
W270968	10	mTEC-I
W270971	33	mTEC-III
W270972	6	mTEC-I
W270973	33	mTEC-III
W270974	33	mTEC-III
W270975	4	cTEC
W270976	24	mTEC-III
W270977	26	mTEC-II
W270980	30	mTEC-II
W270986	33	mTEC-III
W270992	20	mTEC-I
W270996	33	mTEC-III
W271000	2	mTEC-IV
W271004	22	mTEC-III
W271007	6	mTEC-I
W271009	30	mTEC-II
W271011	2	mTEC-IV
W271013	32	mTEC-III
W271014	23	mTEC-III
W271015	6	mTEC-I
W271036	18	mTEC-I
W271038	35	mTEC-II
W271042	26	mTEC-II
W271053	20	mTEC-I
W271059	6	mTEC-I
W271065	28	mTEC-II
W271073	34	mTEC-II
W271076	32	mTEC-III
W271089	3	mTEC-IV
W271091	20	mTEC-I
W271093	18	mTEC-I
W271095	20	mTEC-I
W271100	30	mTEC-II
W271101	23	mTEC-III
W271102	35	mTEC-II
W271106	20	mTEC-I
W271116	20	mTEC-I
