12	10	E	-7107116.832617255	200
emissionprobs	6	5	H3k4me2	0	0.7864585271458401
emissionprobs	6	5	H3k4me2	1	0.21354147285415995
emissionprobs	6	6	H3k4me3	0	0.8864982182193152
emissionprobs	6	6	H3k4me3	1	0.11350178178068485
emissionprobs	6	7	H3k79me2	0	0.07483050198541102
emissionprobs	6	7	H3k79me2	1	0.925169498014589
emissionprobs	6	8	H3k9ac	0	0.8460970057201124
emissionprobs	6	8	H3k9ac	1	0.15390299427988766
emissionprobs	6	9	H3k9me1	0	0.8160939002072202
emissionprobs	6	9	H3k9me1	1	0.18390609979277972
emissionprobs	7	0	H2az	0	0.9604711682459898
emissionprobs	7	0	H2az	1	0.039528831754010216
emissionprobs	7	1	H3k27ac	0	0.889211037089708
emissionprobs	7	1	H3k27ac	1	0.11078896291029208
emissionprobs	7	2	H3k27me3	0	0.9969314668826355
emissionprobs	7	2	H3k27me3	1	0.003068533117364639
emissionprobs	7	3	H3k36me3	0	0.9310065387472064
emissionprobs	7	3	H3k36me3	1	0.06899346125279361
emissionprobs	7	4	H3k4me1	0	0.36579236841724055
emissionprobs	7	4	H3k4me1	1	0.6342076315827595
emissionprobs	7	5	H3k4me2	0	0.9805344833244183
emissionprobs	7	5	H3k4me2	1	0.019465516675581773
emissionprobs	7	6	H3k4me3	0	0.9831396593335087
emissionprobs	7	6	H3k4me3	1	0.016860340666491256
emissionprobs	7	7	H3k79me2	0	0.9731070804279447
emissionprobs	7	7	H3k79me2	1	0.026892919572055272
emissionprobs	7	8	H3k9ac	0	0.9811298155628269
emissionprobs	7	8	H3k9ac	1	0.018870184437173105
emissionprobs	7	9	H3k9me1	0	0.9109470143955223
emissionprobs	7	9	H3k9me1	1	0.08905298560447764
emissionprobs	8	0	H2az	0	0.24120089029305114
emissionprobs	8	0	H2az	1	0.7587991097069487
emissionprobs	8	1	H3k27ac	0	0.3107260045861603
emissionprobs	8	1	H3k27ac	1	0.6892739954138397
emissionprobs	8	2	H3k27me3	0	0.9978324689822783
emissionprobs	8	2	H3k27me3	1	0.0021675310177217133
emissionprobs	8	3	H3k36me3	0	0.9497104736326786
emissionprobs	8	3	H3k36me3	1	0.05028952636732145
emissionprobs	8	4	H3k4me1	0	0.05376266931169113
emissionprobs	8	4	H3k4me1	1	0.9462373306883088
emissionprobs	8	5	H3k4me2	0	0.6120329676998248
emissionprobs	8	5	H3k4me2	1	0.38796703230017515
emissionprobs	8	6	H3k4me3	0	0.7682282621694432
emissionprobs	8	6	H3k4me3	1	0.2317717378305569
emissionprobs	8	7	H3k79me2	0	0.9663365498491383
emissionprobs	8	7	H3k79me2	1	0.03366345015086174
emissionprobs	8	8	H3k9ac	0	0.6150467615257581
emissionprobs	8	8	H3k9ac	1	0.3849532384742418
emissionprobs	8	9	H3k9me1	0	0.8857354537285785
emissionprobs	8	9	H3k9me1	1	0.11426454627142134
emissionprobs	9	0	H2az	0	0.4821648521089236
emissionprobs	9	0	H2az	1	0.5178351478910764
emissionprobs	9	1	H3k27ac	0	0.9808005870001121
emissionprobs	9	1	H3k27ac	1	0.019199412999887904
emissionprobs	9	2	H3k27me3	0	0.9953544465273579
emissionprobs	9	2	H3k27me3	1	0.004645553472642149
emissionprobs	9	3	H3k36me3	0	0.9965892016867934
emissionprobs	9	3	H3k36me3	1	0.003410798313206557
emissionprobs	9	4	H3k4me1	0	0.7165435937636513
emissionprobs	9	4	H3k4me1	1	0.2834564062363488
emissionprobs	9	5	H3k4me2	0	0.9881730962452573
emissionprobs	9	5	H3k4me2	1	0.011826903754742662
emissionprobs	9	6	H3k4me3	0	0.9870932577540471
emissionprobs	9	6	H3k4me3	1	0.01290674224595285
emissionprobs	9	7	H3k79me2	0	0.9993777059017424
emissionprobs	9	7	H3k79me2	1	6.222940982576634E-4
emissionprobs	9	8	H3k9ac	0	0.9903846111597839
emissionprobs	9	8	H3k9ac	1	0.009615388840216038
emissionprobs	9	9	H3k9me1	0	0.9663334472601836
emissionprobs	9	9	H3k9me1	1	0.03366655273981646
emissionprobs	10	0	H2az	0	0.4672926763933245
emissionprobs	10	0	H2az	1	0.5327073236066755
emissionprobs	10	1	H3k27ac	0	0.9017344821801668
emissionprobs	10	1	H3k27ac	1	0.09826551781983324
emissionprobs	10	2	H3k27me3	0	0.9708418250187796
emissionprobs	10	2	H3k27me3	1	0.029158174981220406
emissionprobs	10	3	H3k36me3	0	0.9894515799426218
emissionprobs	10	3	H3k36me3	1	0.010548420057378194
emissionprobs	10	4	H3k4me1	0	0.7493902586044187
emissionprobs	10	4	H3k4me1	1	0.2506097413955814
emissionprobs	10	5	H3k4me2	0	0.36553657729554023
emissionprobs	10	5	H3k4me2	1	0.6344634227044598
emissionprobs	10	6	H3k4me3	0	0.5324556409634712
emissionprobs	10	6	H3k4me3	1	0.4675443590365287
emissionprobs	10	7	H3k79me2	0	0.9696036721727217
emissionprobs	10	7	H3k79me2	1	0.030396327827278316
emissionprobs	10	8	H3k9ac	0	0.7674069878322193
emissionprobs	10	8	H3k9ac	1	0.23259301216778075
emissionprobs	10	9	H3k9me1	0	0.9550832441595717
emissionprobs	10	9	H3k9me1	1	0.044916755840428375
emissionprobs	11	0	H2az	0	0.09917919862395969
emissionprobs	11	0	H2az	1	0.9008208013760403
emissionprobs	11	1	H3k27ac	0	0.15686195302897482
emissionprobs	11	1	H3k27ac	1	0.8431380469710252
emissionprobs	11	2	H3k27me3	0	0.9995594544767588
emissionprobs	11	2	H3k27me3	1	4.405455232413074E-4
emissionprobs	11	3	H3k36me3	0	0.9931895416557636
emissionprobs	11	3	H3k36me3	1	0.006810458344236493
emissionprobs	11	4	H3k4me1	0	0.5984480938366362
emissionprobs	11	4	H3k4me1	1	0.40155190616336384
emissionprobs	11	5	H3k4me2	0	0.00845157945390584
emissionprobs	11	5	H3k4me2	1	0.9915484205460942
emissionprobs	11	6	H3k4me3	0	0.054479536585980225
emissionprobs	11	6	H3k4me3	1	0.9455204634140199
emissionprobs	11	7	H3k79me2	0	0.8574215413910888
emissionprobs	11	7	H3k79me2	1	0.14257845860891125
emissionprobs	11	8	H3k9ac	0	0.027891761958041317
emissionprobs	11	8	H3k9ac	1	0.9721082380419587
emissionprobs	11	9	H3k9me1	0	0.9623189295869438
emissionprobs	11	9	H3k9me1	1	0.03768107041305631
emissionprobs	12	0	H2az	0	0.5635049236459772
emissionprobs	12	0	H2az	1	0.43649507635402285
emissionprobs	12	1	H3k27ac	0	0.210421595915812
emissionprobs	12	1	H3k27ac	1	0.789578404084188
emissionprobs	12	2	H3k27me3	0	0.9996590059040327
emissionprobs	12	2	H3k27me3	1	3.409940959672766E-4
emissionprobs	12	3	H3k36me3	0	0.874390506121609
emissionprobs	12	3	H3k36me3	1	0.12560949387839102
emissionprobs	12	4	H3k4me1	0	0.634268098677567
emissionprobs	12	4	H3k4me1	1	0.36573190132243316
emissionprobs	12	5	H3k4me2	0	0.026873284973869933
emissionprobs	12	5	H3k4me2	1	0.97312671502613
emissionprobs	12	6	H3k4me3	0	0.06580125076999543
emissionprobs	12	6	H3k4me3	1	0.9341987492300045
emissionprobs	12	7	H3k79me2	0	0.02400612977951931
emissionprobs	12	7	H3k79me2	1	0.9759938702204807
emissionprobs	12	8	H3k9ac	0	0.04913552050371839
emissionprobs	12	8	H3k9ac	1	0.9508644794962816
emissionprobs	12	9	H3k9me1	0	0.9389230169540046
emissionprobs	12	9	H3k9me1	1	0.06107698304599546
